,0.0,1.0,accuracy,macro avg,weighted avg
precision,0.8353894533139816,0.6602265156562291,0.808475790766711,0.7478079844851053,0.7932169454451072
recall,0.9312390454361602,0.421343537414966,0.808475790766711,0.6762912914255631,0.808475790766711
f1-score,0.8807140580172139,0.514404360238775,0.808475790766711,0.6975592091279945,0.7925207517243602
support,7417.0,2352.0,0.808475790766711,9769.0,9769.0
